Timesheetsarm_Cron_Approve;Tuntikortti hyväsyttiin croniajolla
Email_Table_Header_Subject_1;Työntekijän nimi
Email_Table_Header_Subject_2;Päättymispäivämäärä
Email_Table_Header_Subject_3;Pätevyys
Email_Table_Header_Subject_4;Päiviä jäljellä
Email_Table_Header_Subject_5;Päivää sitten
Email_Table_Main_Subject_1;Nämä työsopimukset päätyvät 30-päivän sisällä
Email_Table_Main_Subject_9;Nämä pätevyydet erääntyvät 30-päivän sisällä
Email_Table_Main_Subject_31;Nämä koeajat erääntyvät 30-päivän sisällä
Email_Table_Main_Subject_32;Nämä työsopimukset päätyneet 1-7 päivän välillä
Email_Compilation_Subject_1;Kooste työsopimusten, pätevyyksien ja koeaikojen päättymisestä
Email_Table_Main_Text_1;Kooste työsopimusten, pätevyyksien ja koeaikojen päättymisestä.
Email_Agreements_Call_Action;Jos työsuhde ei jatku pyydä henkilöä palauttamaan kuittaamansa varusteet ja ilmoita työsuhteen päättymisestä sähköpostilla
Email_Qualifications_Call_Action;Selvitä työntekijöiden uudelleenkoulutustarve ja päivitä tarvittaessa pätevyys vähintään 7 päivää ennen erääntymistä.
Email_Trial_Call_Action;Tarkasta asiakkaalta ja työntekijän työmaalla olevilta esimiehiltä ja kolleegoilta töiden sujuminen sekä anna koeaikapalaute työntekijälle.
